Numero_Decreto;Data_Decreto;Tipologia;CUP;Capitolo_di_Spesa;Piano_Gestionale;Ministero;Importo_EUR;Documento;Cartella
409;;Decreto Dirigenziale;H50I22000010001;7248;13;ITOLO;;D.D.n.409-del-26.11.2024-Impegno2023-2026.pdf;Decreto dirigenziale di impegno n_ 409 del 26_11_2
409;;Decreto Dirigenziale;J40I22000000003;7248;13;ITOLO;;D.D.n.409-del-26.11.2024-Impegno2023-2026.pdf;Decreto dirigenziale di impegno n_ 409 del 26_11_2
409;;Decreto Dirigenziale;C90B22000030001;7248;13;ITOLO;22.000.000,00;D.D.n.409-del-26.11.2024-Impegno2023-2026.pdf;Decreto dirigenziale di impegno n_ 409 del 26_11_2
409;;Decreto Dirigenziale;G40A22000120001;7248;13;ITOLO;22.000.000,00;D.D.n.409-del-26.11.2024-Impegno2023-2026.pdf;Decreto dirigenziale di impegno n_ 409 del 26_11_2
409;;Decreto Dirigenziale;D29I22000770001;7248;13;ITOLO;22.000.000,00;D.D.n.409-del-26.11.2024-Impegno2023-2026.pdf;Decreto dirigenziale di impegno n_ 409 del 26_11_2
409;;Decreto Dirigenziale;B79I22009970008;7248;13;ITOLO;22.000.000,00;D.D.n.409-del-26.11.2024-Impegno2023-2026.pdf;Decreto dirigenziale di impegno n_ 409 del 26_11_2
409;;Decreto Dirigenziale;D30I23000000001;7248;13;ITOLO;22.000.000,00;D.D.n.409-del-26.11.2024-Impegno2023-2026.pdf;Decreto dirigenziale di impegno n_ 409 del 26_11_2
409;;Decreto Dirigenziale;G90I22000050001;7248;13;ITOLO;22.000.000,00;D.D.n.409-del-26.11.2024-Impegno2023-2026.pdf;Decreto dirigenziale di impegno n_ 409 del 26_11_2
409;;Decreto Dirigenziale;B59I22003710001;7248;13;ITOLO;22.000.000,00;D.D.n.409-del-26.11.2024-Impegno2023-2026.pdf;Decreto dirigenziale di impegno n_ 409 del 26_11_2
409;;Decreto Dirigenziale;H50I22000010001;7248;13;ITOLO;22.000.000,00;D.D.n.409-del-26.11.2024-Impegno2023-2026.pdf;Decreto dirigenziale di impegno n_ 409 del 26_11_2
409;;Decreto Dirigenziale;J40I22000000003;7248;13;ITOLO;22.000.000,00;D.D.n.409-del-26.11.2024-Impegno2023-2026.pdf;Decreto dirigenziale di impegno n_ 409 del 26_11_2
454;;Decreto Dirigenziale;;1314;;ITOLO;;D.D.n.454-del-19.12.2024-ImpegnoL.47L.58Parz.L.296.pdf;Decreto Dirigenziale di Impegno n_ 454 del 19_12_2
454;;Decreto Dirigenziale;;1314;1;ITOLO;;D.D.n.454-del-19.12.2024-ImpegnoL.47L.58Parz.L.296.pdf;Decreto Dirigenziale di Impegno n_ 454 del 19_12_2
454;;Decreto Dirigenziale;;1314;1;;;D.D.n.454-del-19.12.2024-ImpegnoL.47L.58Parz.L.296.pdf;Decreto Dirigenziale di Impegno n_ 454 del 19_12_2
465;;Decreto Dirigenziale;;1314;;ITOLO;;D.D.n.465-del-30.12.2024-ImpegnoRes.296-INPS.pdf;Decreto Dirigenziale di Impegno N_ 465 del 30_12_2
465;;Decreto Dirigenziale;;1314;1;ITOLO;;D.D.n.465-del-30.12.2024-ImpegnoRes.296-INPS.pdf;Decreto Dirigenziale di Impegno N_ 465 del 30_12_2
465;;Decreto Dirigenziale;;1314;1;;;D.D.n.465-del-30.12.2024-ImpegnoRes.296-INPS.pdf;Decreto Dirigenziale di Impegno N_ 465 del 30_12_2
465;;Decreto Dirigenziale;;1314;1;;1.478.393,64;D.D.n.465-del-30.12.2024-ImpegnoRes.296-INPS.pdf;Decreto Dirigenziale di Impegno N_ 465 del 30_12_2
;10-10-2019;Decreto Dirigenziale;;7251;;ITOLO;795.982,00;rd 276.pdf;Decreto dirigenziale di pagamento del 10_10_2019 n
211;;Decreto Dirigenziale;;;;;;rd 211-19.pdf;Decreto dirigenziale di pagamento n_ 211 del 04_07
89;;Decreto Dirigenziale;;;;;;RD 89.pdf;Decreto Dirigenziale di pagamento n_ 89 del 23 mag
433;;Decreto Dirigenziale;;8151;;ITOLO;;Decreto_Dirigenziale_n_433_del_30_11_2016.pdf;Decreto Dirigenziale di pagamento N_433 del 30_11
433;;Decreto Dirigenziale;;7056;;ITOLO;20.000.000.000,00;Decreto_Dirigenziale_n_433_del_30_11_2016.pdf;Decreto Dirigenziale di pagamento N_433 del 30_11
433;;Decreto Dirigenziale;;7241;;;;Decreto_Dirigenziale_n_433_del_30_11_2016.pdf;Decreto Dirigenziale di pagamento N_433 del 30_11
433;;Decreto Dirigenziale;;7241;07;;;Decreto_Dirigenziale_n_433_del_30_11_2016.pdf;Decreto Dirigenziale di pagamento N_433 del 30_11
443;;Decreto Dirigenziale;;8151;;ITOLO;;Decreto_Dirigenziale_n_443_del_05_12_2016.pdf;Decreto Dirigenziale di pagamento N_443 del 05_12
443;;Decreto Dirigenziale;;7056;;ITOLO;20.000.000.000,00;Decreto_Dirigenziale_n_443_del_05_12_2016.pdf;Decreto Dirigenziale di pagamento N_443 del 05_12
443;;Decreto Dirigenziale;;7241;;;;Decreto_Dirigenziale_n_443_del_05_12_2016.pdf;Decreto Dirigenziale di pagamento N_443 del 05_12
443;;Decreto Dirigenziale;;7241;08;;;Decreto_Dirigenziale_n_443_del_05_12_2016.pdf;Decreto Dirigenziale di pagamento N_443 del 05_12
449;;Decreto Dirigenziale;;8151;;ITOLO;;Decreto_Dirigenziale_n_449_del_06_12_2016.pdf;Decreto Dirigenziale di pagamento N_449 del 06_12
449;;Decreto Dirigenziale;;7056;;ITOLO;20.000.000.000,00;Decreto_Dirigenziale_n_449_del_06_12_2016.pdf;Decreto Dirigenziale di pagamento N_449 del 06_12
449;;Decreto Dirigenziale;;7241;;;;Decreto_Dirigenziale_n_449_del_06_12_2016.pdf;Decreto Dirigenziale di pagamento N_449 del 06_12
222;18-11-2025;Decreto Dirigenziale;;1245;1;ITOLO;;Decreto Direttoriale  Sea Modal Shift n. 222 del 18-11-2025.pdf;Decreto Dirigenziale n. 222 del 18 novembre 2025
414;12-11-2025;Decreto Dirigenziale;;;;;;m_inf.AFC41FC.REGISTRO DECRETI(R).0000414.12-11-2025.pdf;Decreto dirigenziale n. 414 del 12_11_2025
445;02-12-2025;Decreto Dirigenziale;C90J21000030001;;;;;m_inf.A153A1B.REGISTRO_DECRETI_R_.0000445.02-12-2025.pdf;Decreto dirigenziale n. 445 del 02_12_2025
445;02-12-2025;Decreto Dirigenziale;G40B25000000008;;;;;m_inf.A153A1B.REGISTRO_DECRETI_R_.0000445.02-12-2025.pdf;Decreto dirigenziale n. 445 del 02_12_2025
445;02-12-2025;Decreto Dirigenziale;J50J21000050008;;;;;m_inf.A153A1B.REGISTRO_DECRETI_R_.0000445.02-12-2025.pdf;Decreto dirigenziale n. 445 del 02_12_2025
445;02-12-2025;Decreto Dirigenziale;B20A20000040001;;;;;m_inf.A153A1B.REGISTRO_DECRETI_R_.0000445.02-12-2025.pdf;Decreto dirigenziale n. 445 del 02_12_2025
445;02-12-2025;Decreto Dirigenziale;H20C19000000009;;;;;m_inf.A153A1B.REGISTRO_DECRETI_R_.0000445.02-12-2025.pdf;Decreto dirigenziale n. 445 del 02_12_2025
445;02-12-2025;Decreto Dirigenziale;H20J19000000009;;;;;m_inf.A153A1B.REGISTRO_DECRETI_R_.0000445.02-12-2025.pdf;Decreto dirigenziale n. 445 del 02_12_2025
445;02-12-2025;Decreto Dirigenziale;E90J19000000009;;;;;m_inf.A153A1B.REGISTRO_DECRETI_R_.0000445.02-12-2025.pdf;Decreto dirigenziale n. 445 del 02_12_2025
445;02-12-2025;Decreto Dirigenziale;H90J20000020009;;;;;m_inf.A153A1B.REGISTRO_DECRETI_R_.0000445.02-12-2025.pdf;Decreto dirigenziale n. 445 del 02_12_2025
445;02-12-2025;Decreto Dirigenziale;H80J20000010009;;;;;m_inf.A153A1B.REGISTRO_DECRETI_R_.0000445.02-12-2025.pdf;Decreto dirigenziale n. 445 del 02_12_2025
445;02-12-2025;Decreto Dirigenziale;H30J20000030009;;;;;m_inf.A153A1B.REGISTRO_DECRETI_R_.0000445.02-12-2025.pdf;Decreto dirigenziale n. 445 del 02_12_2025
445;02-12-2025;Decreto Dirigenziale;C10J19000000009;;;;;m_inf.A153A1B.REGISTRO_DECRETI_R_.0000445.02-12-2025.pdf;Decreto dirigenziale n. 445 del 02_12_2025
445;02-12-2025;Decreto Dirigenziale;D29C20000700003;;;;;m_inf.A153A1B.REGISTRO_DECRETI_R_.0000445.02-12-2025.pdf;Decreto dirigenziale n. 445 del 02_12_2025
445;02-12-2025;Decreto Dirigenziale;F89J20002180008;;;;;m_inf.A153A1B.REGISTRO_DECRETI_R_.0000445.02-12-2025.pdf;Decreto dirigenziale n. 445 del 02_12_2025
445;02-12-2025;Decreto Dirigenziale;H39J21004480007;;;;;m_inf.A153A1B.REGISTRO_DECRETI_R_.0000445.02-12-2025.pdf;Decreto dirigenziale n. 445 del 02_12_2025
445;02-12-2025;Decreto Dirigenziale;H30I17000000004;;;;;m_inf.A153A1B.REGISTRO_DECRETI_R_.0000445.02-12-2025.pdf;Decreto dirigenziale n. 445 del 02_12_2025
445;02-12-2025;Decreto Dirigenziale;H37B18000230007;;;;;m_inf.A153A1B.REGISTRO_DECRETI_R_.0000445.02-12-2025.pdf;Decreto dirigenziale n. 445 del 02_12_2025
